ts,RET_1,VOL_YES_1,VOL_NO_1,VOL_TOTAL_1,RET_2,VOL_YES_2,VOL_NO_2,VOL_TOTAL_2,RET_3,VOL_YES_3,VOL_NO_3,VOL_TOTAL_3,RET_4,VOL_YES_4,VOL_NO_4,VOL_TOTAL_4,RET_5,VOL_YES_5,VOL_NO_5,VOL_TOTAL_5,RET_6,VOL_YES_6,VOL_NO_6,VOL_TOTAL_6,RET_7,VOL_YES_7,VOL_NO_7,VOL_TOTAL_7,RET_8,VOL_YES_8,VOL_NO_8,VOL_TOTAL_8,RET_9,VOL_YES_9,VOL_NO_9,VOL_TOTAL_9,RET_10,VOL_YES_10,VOL_NO_10,VOL_TOTAL_10,RET_MEAN_5,RET_STD_5,VOL_MEAN_5,RET_MEAN_10,RET_STD_10,VOL_MEAN_10,DIST_50,DIST_MIN_20,DIST_MAX_20,VOL_IMBALANCE
2026-02-25 05:00:00+00:00,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.020503516955229874,0.038304621751179116,,-0.00407058584472939,0.05565633116196807,,0.7218000000000001,0.4494444444194755,0.5505555555249689,
2026-02-26 05:00:00+00:00,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.0,0.0,0.0,,0.01797128324632058,0.04036216455105762,,-0.0053367026991840375,0.05569743930759361,,0.7,0.38888888886728395,0.6111111110771605,
2026-02-27 05:00:00+00:00,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.038461538461538436,0.0,0.0,,0.008093455192021936,0.0324127588186646,,-0.004160232110948747,0.055946382723035246,,0.72,0.49999999996875,0.49999999996875,
2026-02-28 05:00:00+00:00,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,0.02857142857142847,0.0,0.0,,-0.00454397382815448,0.01041650163105783,,-0.00031407826479490364,0.05463289462698392,,0.72,0.49999999996875,0.49999999996875,
2026-03-01 05:00:00+00:00,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.1333333333333333,0.0,0.0,,-0.0022712465554272088,0.009776598075141321,,-0.003171221121937751,0.05369344266276618,,0.72,0.49999999996875,0.49999999996875,
2026-03-02 05:00:00+00:00,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,0.0,0.0,0.0,,-0.0013420832301131336,0.008993186470793927,,0.00958071686255837,0.02864642971789787,,0.71,0.4687499999707031,0.5312499999667969,
2026-03-03 05:00:00+00:00,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,0.061153846153846114,0.0,0.0,,-0.007137334901320802,0.02031734438292015,,0.005416974172499889,0.0329033973309976,,0.6387999999999999,0.24624999998460922,0.7537499999528907,
2026-03-04 05:00:00+00:00,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,0.06318714510088208,0.0,0.0,,-0.014005775223507788,0.018002860810045686,,-0.002956160015742926,0.02732459146533656,,0.6017999999999998,0.13062499999183527,0.8693749999456647,
2026-03-05 05:00:00+00:00,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.011363636363636354,0.0,0.0,,-0.028339649614817518,0.029146358531700087,,-0.016441811721486,0.024146866263009308,,0.48700000000000015,0.0,0.9999999999399399,
2026-03-06 05:00:00+00:00,-0.011028917283120498,0.0,0.0,,-0.07166937195654866,0.0,0.0,,-0.02257749572858203,0.0,0.0,,-0.041637426900584806,0.0,0.0,,-0.005813953488372103,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0117647058823529,0.0,0.0,,-0.012661168544546464,0.0,0.0,,-0.01045977011494248,0.0,0.0,,-0.03054543307144162,0.026787306569133994,,-0.016408339813434415,0.024154918317814113,,0.4706,0.0,0.999999999942759,
